time (s),C_1 (V),C_2 (V),C_3 (V),C_4 (V)
-2.4719999999999994e-07,0.0256165827159,0.00048211620762,1.56474254327e-05,0.0363102203887
-2.467999999999999e-07,0.0271469855215,0.000473532359255,-4.83858898515e-05,0.0390123038273
-2.463999999999999e-07,0.0290723319631,0.000450900737336,-1.65586428484e-05,0.0319496004563
-2.4599999999999985e-07,0.0254358036909,0.000489091450023,-3.30413108459e-05,0.0284142696951
-2.455999999999998e-07,0.0198486575391,0.000463564932486,1.44303218694e-05,0.0359347530361
-2.451999999999998e-07,0.029206831241,0.00051133823921,-1.97096144548e-05,0.0533735726681
-2.448000000000002e-07,0.0288449821528,0.00049514246746,-3.9225389366e-05,0.0330009076465
-2.4440000000000015e-07,0.0347814091947,0.00048517427654,-2.2837973549e-05,0.044275743207
-2.440000000000001e-07,0.025150856236,0.000475147364801,-2.66040010611e-05,0.0448948259186
-2.436000000000001e-07,0.0350682053249,0.00048958345796,-1.44206125988e-05,0.046347058164
-2.4320000000000006e-07,0.0226879084948,0.000467252985248,-5.1427618484e-05,0.0487969930004
-2.4280000000000003e-07,0.0317197327968,0.000482654870627,-1.60420871107e-05,0.0453154950123
-2.424e-07,0.0289387081284,0.000463985202508,-3.50656324299e-05,0.0406579997111
-2.4199999999999997e-07,0.025603157701,0.000466132190684,-5.16493070172e-05,0.0356705135386
-2.4159999999999994e-07,0.0329461100046,0.000472676931554,-1.42483074451e-05,0.0318023862969
-2.411999999999999e-07,0.0331710802857,0.000450035330979,-4.05259312829e-05,0.0305548354704
-2.407999999999999e-07,0.0275803811383,0.000454665892432,-5.48205523519e-05,0.0351686657127
-2.4039999999999985e-07,0.0173647340853,0.000437368456414,-2.18870943645e-05,0.0558128648158
-2.399999999999998e-07,0.0293124851305,0.000441845430667,-4.03230717639e-05,0.0444893140998
-2.395999999999998e-07,0.0356095319148,0.000460258681001,1.4158351114e-06,0.0429780895542
-2.392000000000002e-07,0.0268446083646,0.000423769216659,-2.8950120206e-05,0.0342331545148
-2.3880000000000015e-07,0.0402942101937,0.000471689963853,-5.53688616495e-07,0.0369235731382
-2.3840000000000012e-07,0.0262014602777,0.000482664006902,-1.982825913e-05,0.0355107311811
-2.380000000000001e-07,0.0277806294616,0.000474689691933,9.31489758659e-06,0.0421668843087
-2.3760000000000006e-07,0.0306510843802,0.000460013901489,-3.80517331651e-05,0.0384404857364
